line_id,library,version
spring-framework-5.3.x,commons-lang:commons-lang,2.4
spring-framework-5.3.x,commons-logging:commons-logging,1.1.1
spring-framework-5.3.x,commons-logging:commons-logging,1.1.3
spring-framework-5.3.x,commons-logging:commons-logging,1.2
spring-framework-5.3.x,io.dropwizard.metrics:metrics-core,3.1.5
spring-framework-5.3.x,io.dropwizard.metrics:metrics-core,4.1.18
spring-framework-5.3.x,io.lettuce:lettuce-core,6.1.10.RELEASE
spring-framework-5.3.x,io.micrometer:micrometer-core,1.9.17
spring-framework-5.3.x,io.netty:netty-buffer,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-buffer,4.1.73.Final
spring-framework-5.3.x,io.netty:netty-buffer,4.1.75.Final
spring-framework-5.3.x,io.netty:netty-buffer,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-buffer,4.1.82.Final
spring-framework-5.3.x,io.netty:netty-buffer,4.1.93.Final
spring-framework-5.3.x,io.netty:netty-codec-dns,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-codec-dns,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-codec-http,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-codec-http,4.1.73.Final
spring-framework-5.3.x,io.netty:netty-codec-http,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-codec-http2,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-codec-http2,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-codec-socks,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-codec-socks,4.1.73.Final
spring-framework-5.3.x,io.netty:netty-codec-socks,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-codec,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-codec,4.1.73.Final
spring-framework-5.3.x,io.netty:netty-codec,4.1.75.Final
spring-framework-5.3.x,io.netty:netty-codec,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-codec,4.1.82.Final
spring-framework-5.3.x,io.netty:netty-common,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-common,4.1.73.Final
spring-framework-5.3.x,io.netty:netty-common,4.1.75.Final
spring-framework-5.3.x,io.netty:netty-common,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-common,4.1.82.Final
spring-framework-5.3.x,io.netty:netty-common,4.1.93.Final
spring-framework-5.3.x,io.netty:netty-handler-proxy,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-handler-proxy,4.1.73.Final
spring-framework-5.3.x,io.netty:netty-handler-proxy,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-handler,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-handler,4.1.73.Final
spring-framework-5.3.x,io.netty:netty-handler,4.1.75.Final
spring-framework-5.3.x,io.netty:netty-handler,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-handler,4.1.82.Final
spring-framework-5.3.x,io.netty:netty-resolver-dns-classes-macos,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-resolver-dns-classes-macos,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-resolver-dns-native-macos,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-resolver-dns-native-macos,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-resolver-dns,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-resolver-dns,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-resolver,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-resolver,4.1.73.Final
spring-framework-5.3.x,io.netty:netty-resolver,4.1.75.Final
spring-framework-5.3.x,io.netty:netty-resolver,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-resolver,4.1.82.Final
spring-framework-5.3.x,io.netty:netty-tcnative-classes,2.0.46.Final
spring-framework-5.3.x,io.netty:netty-transport-classes-epoll,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-transport-classes-epoll,4.1.73.Final
spring-framework-5.3.x,io.netty:netty-transport-classes-epoll,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-transport-classes-kqueue,4.1.73.Final
spring-framework-5.3.x,io.netty:netty-transport-native-epoll,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-transport-native-epoll,4.1.73.Final
spring-framework-5.3.x,io.netty:netty-transport-native-epoll,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-transport-native-kqueue,4.1.73.Final
spring-framework-5.3.x,io.netty:netty-transport-native-unix-common,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-transport-native-unix-common,4.1.73.Final
spring-framework-5.3.x,io.netty:netty-transport-native-unix-common,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-transport-native-unix-common,4.1.82.Final
spring-framework-5.3.x,io.netty:netty-transport,4.1.101.Final
spring-framework-5.3.x,io.netty:netty-transport,4.1.73.Final
